female 1 13 4.32211101
female 2 12 2.6154650912
female 3 15 8.2680058795
female 4 14 8.0967289215
female 5 12 1.3456535391
female 6 13 2.9985152513
female 7 12 3.8277804998
female 8 14 2.4181574607
female 9 13 6.3152956461
female 10 12 3.5484271597
female 11 11 3.6421699174
female 12 12 5.4797699786
female 13 11 3.9808917197
female 14 9 5.7526182403
female 15 7 3.1847133758
female 16 8 2.8640234285
male 2 12 3.7284449278
male 3 15 6.4555000861
male 4 14 5.0862935947
male 5 15 3.2663726931
male 6 14 9.0335619794
male 7 14 2.9332886356
male 8 11 1.0328800138
male 9 15 3.2168821978
male 10 12 11.45580351
male 11 11 4.9465625755
male 12 11 6.2191310837
male 13 9 4.4232130219
male 14 8 6.1893722851
male 15 8 3.2393778775
male 16 8 5.7379960804
male 17 6 7.0063694268
male 18 6 5.0616149014
